identifier	lenmm	weightg
CSJ2301001PKS	100	16.3
CSJ2301002PKS	40	12
CSJ2301003PKS	41	17.7
CSJ2301004PKS	199	209.2
CSJ2301005PKS	38	11.3
CSJ2301006PKS	46	16.4
CSJ2301007BGL	40	14
CSJ2301008PKS	155	92.2
CSJ2301009SMB	350	1000
CSJ2301010RKB	136	47.5
CSJ2301011PKS	100	19.1
CSJ2301012BGL	71	9
CSJ2301013BDS	92	3.4
CSJ2301014PKS	90	16.7
CSJ2301015PKS	90	16.9
CSJ2301016PKS	94	14.8
CSJ2301017PKS	30	6.5
CSJ2301018BGL	45	7
CSJ2301019BGL	50	7.4
CSJ2301020PKS	73	8.6
CSJ2301021BGL	33	0.4
CSJ2301022BGL	34	0.6
CSJ2301023BGL	31	0.4
CSJ2301024BGL	37	1
CSJ2301025BGL	31	0.5
CSJ2301026BGL	47	1.7
CSJ2301027BGL	40	1.2
CSJ2301028BGL	29	0.2
CSJ2301029BGL	33	0.4
CSJ2301030BGL	31	0.4
CSJ2301031BGL	34	0.4
CSJ2301032BGL	32	0.4
CSJ2301033YLP	220	146
CSJ2301034PKS	156	83.2
CSJ2301035PKS	138	57.9
CSJ2301036PKS	139	58.3
CSJ2301037PKS	125	47.7
CSJ2301038BKS	67	1.4
CSJ2301039PKS	151	77.7
LSL2301001BBH	160	36.9
LSL2301002RKB	160	79.7
LSL2301003RKB	190	139.1
LSL2301004WAL	130	16.2
LSL2301005RKB	120	42.1
LSL2301006RKB	150	74.6
LSL2301007SMB	70	5.1
LSL2301008YLP	260	201.6
LSL2301009YLP	250	194.5
LSL2301010YLP	240	157.8
LSL2301011YLP	190	78.5
LSL2301012RKB	94	14.2
LSL2301013RKB	88	11.9
LSL2301014RKB	74	6.3
LSL2301015SMB	75	4.2
LSL2301016YLP	160	46.5
LSL2301017YLP	220	133.7
LSL2301018YLP	120	20.1
LSL2301019RKB	90	14.5
LSL2301020RKB	110	25.4
LSL2301021SMB	190	82.5
LSL2301022YLP	120	19.4
LSL2301023YLP	150	38.9
LSL2301024LGP	100	7.8
CSJ2302001STS	60	1.7
CSJ2302002PKS	150	73.8
CSJ2302003PKS	185	168.3
CSJ2302004YLP	172	63.3
CSJ2302005YLP	145	47.5
CSJ2302006STS	55	2.2
CSJ2302007STS	55	2.3
CSJ2302008STS	60	2
CSJ2302009STS	60	2
CSJ2302010EMS	57	1.8
CSJ2302011EMS	55	1.7
CSJ2302012EMS	60	2.1
CSJ2302013EMS	52	1.2
CSJ2302014EMS	50	1.6
CSJ2302015EMS	55	1.4
CSJ2302016EMS	55	1.2
CSJ2302017STS	60	1.8
CSJ2302018PKS	145	66.5
CSJ2302019YLP	120	18.9
CSJ2302020PKS	85	10.9
CSJ2302021PKS	115	30.7
CSJ2302022YLP	210	108.8
CSJ2302023BGL	50	2.4
CSJ2302024PKS	110	23.6
CSJ2302025EMS	50	1.4
CSJ2302026STS	55	1.4
CSJ2302027PKS	140	60
CSJ2302028PKS	124	37.1
CSJ2302029PKS	105	25.3
CSJ2302030PKS	110	25.6
CSJ2302031BBH	280	500
CSJ2302032PKS	87	13.6
CSJ2302033EMS	52	1.2
CSJ2302034EMS	60	2
CSJ2302035EMS	67	1.8
CSJ2302036EMS	57	1.7
CSJ2302037BKS	73	1.5
CSJ2302038YLP	222	136.1
CSJ2302039RKB	172	98.8
CSJ2302040NHP	252	97.2
CSJ2302041PKS	142	66.1
CSJ2302042LMB	123	26.5
CSJ2302043YLP	151	38.3
CSJ2302044SMB	119	22.5
CSJ2302045STS	88	5.8
CSJ2302046LGP	96	7.9
CSJ2302047STS	60	1.8	
