identifier	temp	DO	pH	cond	gear
CSJ2201001RYLP	21.2	93.9	7.81	87.4	FN
CSJ2201002RRUD	21.2	93.9	7.81	87.4	FN
CSJ2201003RBLC	21.2	93.9	7.81	87.4	FN
CSJ2201004RWLY	21.2	93.9	7.81	87.4	FN
CSJ2201005RPKS	21.2	93.9	7.81	87.4	FN
CSJ2201006RPKS	21.7	101.2	8.22	70	HN
CSJ2201007RRKB	21.2	93.9	7.81	87.4	FN
CSJ2201008RYLP	21.2	93.9	7.81	87.4	FN
CSJ2201009RYLP	21.8	102.4	8.32	63.2	SN
CSJ2201010RBKS	21.8	102.4	8.32	63.2	SN
CSJ2201011RBLG	21.8	102.4	8.32	63.2	SN
CSJ2201012RBKS	21.8	102.4	8.32	63.2	SN
CSJ2201013RSTS	21.8	102.4	8.32	63.2	SN
CSJ2201014REMS	21.8	102.4	8.32	63.2	SN
CSJ2201015RBLG	21.8	102.4	8.32	63.2	SN
CSJ2201016RBKS	21.8	102.4	8.32	63.2	SN
CSJ2201017RBKS	21.8	102.4	8.32	63.2	SN
CSJ2201018RBLG	21.8	102.4	8.32	63.2	SN
CSJ2201019RBLG	21.8	102.4	8.32	63.2	SN
CSJ2201020RBKS	21.8	102.4	8.32	63.2	SN
CSJ2201021RBLG	21.8	102.4	8.32	63.2	SN
CSJ2201022RBLG	21.8	102.4	8.32	63.2	SN
CSJ2201023RBLG	21.8	102.4	8.32	63.2	SN
CSJ2201024RBLG	21.8	102.4	8.32	63.2	SN
CSJ2201025RCRP	21.8	102.4	8.32	63.2	SN
CSJ2201026RCRP	21.8	102.4	8.32	63.2	SN
CSJ2201027RYLP	21.8	102.4	8.32	63.2	SN
CSJ2201028RPKS	22.7	107.9	8.51	200	MT
CSJ2201029RYLP	21.8	102.4	8.32	63.2	SN
CSJ2201030RSGR	21.8	102.4	8.32	63.2	SN
CSJ2201031RSMB	21.8	102.4	8.32	63.2	SN
CSJ2201032RYLP	21.8	102.4	8.32	63.2	SN
CSJ2201033RWLY	21.8	102.4	8.32	63.2	SN
CSJ2201034RSGR	21.8	102.4	8.32	63.2	SN
CSJ2201035RSHN	21.8	102.4	8.32	63.2	SN
CSJ2201036RYLP	21.8	102.4	8.32	63.2	SN
CSJ2201037RYLP	21.8	102.4	8.32	63.2	SN
CSJ2201038RSHN	21.8	102.4	8.32	63.2	SN
CSJ2201039RPKS	21.8	102.4	8.32	63.2	SN
CSJ2201040RPKS	21.8	102.4	8.32	63.2	SN
CSJ2201041RYLP	21.8	102.4	8.32	63.2	SN
CSJ2201042RYLP	21.8	102.4	8.32	63.2	SN
CSJ2201043RSHN	21.8	102.4	8.32	63.2	SN
CSJ2201044RRKB	21.7	101.2	8.22	70	HN
LSL2201001RRKB	18	92	7.8	95	FN
LSL2201002RRKB	18	92	7.8	95	FN
LSL2201003RRKB	18	92	7.8	95	FN
LSL2201004RRKB	18	92	7.8	95	FN
LSL2201005RRKB	18	92	7.8	95	FN
LSL2201006RBLG	18	92	7.8	95	MT
LSL2201007RBLG	17.7	98.1	8	99.2	MT
LSL2201008RYLP	18.1	92.3	7.89	89.2	SN
LSL2201009RYLP	18.1	92.3	7.89	89.2	SN
LSL2201010RSMB	17.6	91.8	7.64	103.8	AN
LSL2201011RRKB	18	91.8	7.91	89.5	FN
LSL2201012RYLP	18.1	92.3	7.89	89.2	SN
LSL2201013RPKS	18.1	92.3	7.89	89.2	SN
LSL2201014RYLP	18.1	92.3	7.89	89.2	SN
LSL2201015RRKB	18	92	7.8	95	MT
LSL2201016RRKB	18.1	92.3	7.89	89.2	SN
LSL2201017RBLG	18	92	7.8	95	MT
LSL2201018RYLP	18.1	92.3	7.89	89.2	SN
CSJ2202001RSHN	16	94	7.96	96.9	FN
CSJ2202002RWLY	16	94	7.96	96.9	FN
CSJ2202003RYLP	16	94	7.96	96.9	FN
CSJ2202004RPKS	16	94	7.96	96.9	FN
CSJ2202005RPKS	16	94	7.96	96.9	FN
CSJ2202006RPKS	16	94	7.96	96.9	FN
CSJ2202007RPKS	16	94	7.96	96.9	FN
CSJ2202008RPKS	16	94	7.96	96.9	FN
CSJ2202009RSTS	16	94	7.96	96.9	FN
CSJ2202010RBLG	16	98.3	7.97	97.5	MN
CSJ2202011RBLG	16	98.3	7.97	97.5	MN
CSJ2202012RBLG	16	98.3	7.97	97.5	MN
CSJ2202013RYLP	16	98.3	7.97	97.5	MN
CSJ2202014RMMS	16.3	98.6	8	97.2	SN
CSJ2202015RYLP	16.3	98.6	8	97.2	SN
CSJ2202016RYLP	16.3	98.6	8	97.2	SN
CSJ2202017RYLP	16.3	98.6	8	97.2	SN
CSJ2202018RYLP	16.3	98.6	8	97.2	SN
CSJ2202019RYLP	16.3	98.6	8	97.2	SN
CSJ2202020RYLP	16.3	98.6	8	97.2	SN
CSJ2202021RYLP	16.3	98.6	8	97.2	SN
CSJ2202022RYLP	16.3	98.6	8	97.2	SN
CSJ2202023RYLP	16.3	98.6	8	97.2	SN
CSJ2202024RYLP	16.3	98.6	8	97.2	SN
CSJ2202025RYLP	16.3	98.6	8	97.2	SN
CSJ2202026RSMB	16.3	98.6	8	97.2	SN
CSJ2202027RMNE	16.3	98.6	8	97.2	SN
CSJ2202028RMNE	16	94	7.96	96.9	AN
CSJ2202029RSMB	16.3	98.6	8	97.2	SN
CSJ2202030RYLP	16.3	98.6	8	97.2	SN
CSJ2202031RYLP	16.3	98.6	8	97.2	SN
